County,State,Area name,Cty-St
049,05,Fulton County,Fulton County-AR
051,05,Garland County,Garland County-AR
053,05,Grant County,Grant County-AR
055,05,Greene County,Greene County-AR
057,05,Hempstead County,Hempstead County-AR
059,05,Hot Spring County,Hot Spring County-AR
061,05,Howard County,Howard County-AR
063,05,Independence County,Independence County-AR
065,05,Izard County,Izard County-AR
067,05,Jackson County,Jackson County-AR
069,05,Jefferson County,Jefferson County-AR
071,05,Johnson County,Johnson County-AR
073,05,Lafayette County,Lafayette County-AR
075,05,Lawrence County,Lawrence County-AR
077,05,Lee County,Lee County-AR
079,05,Lincoln County,Lincoln County-AR
081,05,Little River County,Little River County-AR
083,05,Logan County,Logan County-AR
085,05,Lonoke County,Lonoke County-AR
087,05,Madison County,Madison County-AR
089,05,Marion County,Marion County-AR
091,05,Miller County,Miller County-AR
093,05,Mississippi County,Mississippi County-AR
095,05,Monroe County,Monroe County-AR
097,05,Montgomery County,Montgomery County-AR
099,05,Nevada County,Nevada County-AR
101,05,Newton County,Newton County-AR
103,05,Ouachita County,Ouachita County-AR
105,05,Perry County,Perry County-AR
107,05,Phillips County,Phillips County-AR
109,05,Pike County,Pike County-AR
111,05,Poinsett County,Poinsett County-AR
113,05,Polk County,Polk County-AR
115,05,Pope County,Pope County-AR
117,05,Prairie County,Prairie County-AR
119,05,Pulaski County,Pulaski County-AR
121,05,Randolph County,Randolph County-AR
123,05,St. Francis County,St. Francis County-AR
125,05,Saline County,Saline County-AR
127,05,Scott County,Scott County-AR
129,05,Searcy County,Searcy County-AR
131,05,Sebastian County,Sebastian County-AR
133,05,Sevier County,Sevier County-AR
135,05,Sharp County,Sharp County-AR
137,05,Stone County,Stone County-AR
139,05,Union County,Union County-AR
141,05,Van Buren County,Van Buren County-AR
143,05,Washington County,Washington County-AR
145,05,White County,White County-AR
147,05,Woodruff County,Woodruff County-AR
149,05,Yell County,Yell County-AR
000,06,California,California-CA
001,06,Alameda County,Alameda County-CA
003,06,Alpine County,Alpine County-CA
005,06,Amador County,Amador County-CA
007,06,Butte County,Butte County-CA
009,06,Calaveras County,Calaveras County-CA
011,06,Colusa County,Colusa County-CA
013,06,Contra Costa County,Contra Costa County-CA
015,06,Del Norte County,Del Norte County-CA
017,06,El Dorado County,El Dorado County-CA
019,06,Fresno County,Fresno County-CA
021,06,Glenn County,Glenn County-CA
023,06,Humboldt County,Humboldt County-CA
025,06,Imperial County,Imperial County-CA
027,06,Inyo County,Inyo County-CA
029,06,Kern County,Kern County-CA
031,06,Kings County,Kings County-CA
033,06,Lake County,Lake County-CA
035,06,Lassen County,Lassen County-CA
037,06,Los Angeles County,Los Angeles County-CA
039,06,Madera County,Madera County-CA
041,06,Marin County,Marin County-CA
043,06,Mariposa County,Mariposa County-CA
045,06,Mendocino County,Mendocino County-CA
047,06,Merced County,Merced County-CA
049,06,Modoc County,Modoc County-CA
051,06,Mono County,Mono County-CA
053,06,Monterey County,Monterey County-CA
055,06,Napa County,Napa County-CA
057,06,Nevada County,Nevada County-CA
059,06,Orange County,Orange County-CA
061,06,Placer County,Placer County-CA
063,06,Plumas County,Plumas County-CA
065,06,Riverside County,Riverside County-CA
067,06,Sacramento County,Sacramento County-CA
069,06,San Benito County,San Benito County-CA
071,06,San Bernardino County,San Bernardino County-CA
073,06,San Diego County,San Diego County-CA
075,06,San Francisco County,San Francisco County-CA
077,06,San Joaquin County,San Joaquin County-CA
079,06,San Luis Obispo County,San Luis Obispo County-CA
081,06,San Mateo County,San Mateo County-CA
083,06,Santa Barbara County,Santa Barbara County-CA
085,06,Santa Clara County,Santa Clara County-CA
087,06,Santa Cruz County,Santa Cruz County-CA
089,06,Shasta County,Shasta County-CA
091,06,Sierra County,Sierra County-CA
093,06,Siskiyou County,Siskiyou County-CA
095,06,Solano County,Solano County-CA
097,06,Sonoma County,Sonoma County-CA
099,06,Stanislaus County,Stanislaus County-CA
101,06,Sutter County,Sutter County-CA
103,06,Tehama County,Tehama County-CA
105,06,Trinity County,Trinity County-CA
107,06,Tulare County,Tulare County-CA
109,06,Tuolumne County,Tuolumne County-CA
111,06,Ventura County,Ventura County-CA
113,06,Yolo County,Yolo County-CA
115,06,Yuba County,Yuba County-CA
000,08,Colorado,Colorado-CO
001,08,Adams County,Adams County-CO
003,08,Alamosa County,Alamosa County-CO
005,08,Arapahoe County,Arapahoe County-CO
007,08,Archuleta County,Archuleta County-CO
009,08,Baca County,Baca County-CO
011,08,Bent County,Bent County-CO
013,08,Boulder County,Boulder County-CO
014,08,Broomfield County,Broomfield County-CO
015,08,Chaffee County,Chaffee County-CO
017,08,Cheyenne County,Cheyenne County-CO
019,08,Clear Creek County,Clear Creek County-CO
021,08,Conejos County,Conejos County-CO
023,08,Costilla County,Costilla County-CO
025,08,Crowley County,Crowley County-CO
027,08,Custer County,Custer County-CO
029,08,Delta County,Delta County-CO
031,08,Denver County,Denver County-CO
033,08,Dolores County,Dolores County-CO
035,08,Douglas County,Douglas County-CO
037,08,Eagle County,Eagle County-CO
039,08,Elbert County,Elbert County-CO
041,08,El Paso County,El Paso County-CO
043,08,Fremont County,Fremont County-CO
045,08,Garfield County,Garfield County-CO
047,08,Gilpin County,Gilpin County-CO
049,08,Grand County,Grand County-CO
051,08,Gunnison County,Gunnison County-CO
053,08,Hinsdale County,Hinsdale County-CO
055,08,Huerfano County,Huerfano County-CO
057,08,Jackson County,Jackson County-CO
059,08,Jefferson County,Jefferson County-CO
061,08,Kiowa County,Kiowa County-CO
063,08,Kit Carson County,Kit Carson County-CO
065,08,Lake County,Lake County-CO
067,08,La Plata County,La Plata County-CO
069,08,Larimer County,Larimer County-CO
071,08,Las Animas County,Las Animas County-CO
073,08,Lincoln County,Lincoln County-CO
075,08,Logan County,Logan County-CO
077,08,Mesa County,Mesa County-CO
079,08,Mineral County,Mineral County-CO
081,08,Moffat County,Moffat County-CO
083,08,Montezuma County,Montezuma County-CO
085,08,Montrose County,Montrose County-CO
087,08,Morgan County,Morgan County-CO
089,08,Otero County,Otero County-CO
091,08,Ouray County,Ouray County-CO
093,08,Park County,Park County-CO
095,08,Phillips County,Phillips County-CO
097,08,Pitkin County,Pitkin County-CO
099,08,Prowers County,Prowers County-CO
101,08,Pueblo County,Pueblo County-CO
103,08,Rio Blanco County,Rio Blanco County-CO
105,08,Rio Grande County,Rio Grande County-CO
107,08,Routt County,Routt County-CO
109,08,Saguache County,Saguache County-CO
111,08,San Juan County,San Juan County-CO
113,08,San Miguel County,San Miguel County-CO
115,08,Sedgwick County,Sedgwick County-CO
117,08,Summit County,Summit County-CO
119,08,Teller County,Teller County-CO
121,08,Washington County,Washington County-CO
123,08,Weld County,Weld County-CO
125,08,Yuma County,Yuma County-CO
000,09,Connecticut,Connecticut-CT
001,09,Fairfield County,Fairfield County-CT
003,09,Hartford County,Hartford County-CT
005,09,Litchfield County,Litchfield County-CT
007,09,Middlesex County,Middlesex County-CT
009,09,New Haven County,New Haven County-CT
011,09,New London County,New London County-CT
013,09,Tolland County,Tolland County-CT
015,09,Windham County,Windham County-CT
000,10,Delaware,Delaware-DE
001,10,Kent County,Kent County-DE
003,10,New Castle County,New Castle County-DE
005,10,Sussex County,Sussex County-DE
000,11,District of Columbia,District of Columbia-DC
001,11,District of Columbia,District of Columbia-DC
000,12,Florida,Florida-FL
001,12,Alachua County,Alachua County-FL
003,12,Baker County,Baker County-FL
005,12,Bay County,Bay County-FL
007,12,Bradford County,Bradford County-FL
009,12,Brevard County,Brevard County-FL
011,12,Broward County,Broward County-FL
013,12,Calhoun County,Calhoun County-FL
015,12,Charlotte County,Charlotte County-FL
017,12,Citrus County,Citrus County-FL
019,12,Clay County,Clay County-FL
021,12,Collier County,Collier County-FL
023,12,Columbia County,Columbia County-FL
027,12,DeSoto County,DeSoto County-FL
029,12,Dixie County,Dixie County-FL
031,12,Duval County,Duval County-FL
033,12,Escambia County,Escambia County-FL
035,12,Flagler County,Flagler County-FL
037,12,Franklin County,Franklin County-FL
039,12,Gadsden County,Gadsden County-FL
041,12,Gilchrist County,Gilchrist County-FL
043,12,Glades County,Glades County-FL
045,12,Gulf County,Gulf County-FL
047,12,Hamilton County,Hamilton County-FL
049,12,Hardee County,Hardee County-FL
051,12,Hendry County,Hendry County-FL
053,12,Hernando County,Hernando County-FL
055,12,Highlands County,Highlands County-FL
057,12,Hillsborough County,Hillsborough County-FL
059,12,Holmes County,Holmes County-FL
061,12,Indian River County,Indian River County-FL
063,12,Jackson County,Jackson County-FL
065,12,Jefferson County,Jefferson County-FL
067,12,Lafayette County,Lafayette County-FL
069,12,Lake County,Lake County-FL
071,12,Lee County,Lee County-FL
073,12,Leon County,Leon County-FL
075,12,Levy County,Levy County-FL
077,12,Liberty County,Liberty County-FL
079,12,Madison County,Madison County-FL
081,12,Manatee County,Manatee County-FL
083,12,Marion County,Marion County-FL
085,12,Martin County,Martin County-FL
086,12,Miami-Dade County,Miami-Dade County-FL
087,12,Monroe County,Monroe County-FL
089,12,Nassau County,Nassau County-FL
091,12,Okaloosa County,Okaloosa County-FL
093,12,Okeechobee County,Okeechobee County-FL
095,12,Orange County,Orange County-FL
097,12,Osceola County,Osceola County-FL
099,12,Palm Beach County,Palm Beach County-FL
101,12,Pasco County,Pasco County-FL
103,12,Pinellas County,Pinellas County-FL
105,12,Polk County,Polk County-FL
107,12,Putnam County,Putnam County-FL
109,12,St. Johns County,St. Johns County-FL
111,12,St. Lucie County,St. Lucie County-FL
113,12,Santa Rosa County,Santa Rosa County-FL
115,12,Sarasota County,Sarasota County-FL
117,12,Seminole County,Seminole County-FL
119,12,Sumter County,Sumter County-FL
121,12,Suwannee County,Suwannee County-FL
123,12,Taylor County,Taylor County-FL
125,12,Union County,Union County-FL
127,12,Volusia County,Volusia County-FL
129,12,Wakulla County,Wakulla County-FL
131,12,Walton County,Walton County-FL
133,12,Washington County,Washington County-FL
000,13,Georgia,Georgia-GA
001,13,Appling County,Appling County-GA
003,13,Atkinson County,Atkinson County-GA
005,13,Bacon County,Bacon County-GA
007,13,Baker County,Baker County-GA
009,13,Baldwin County,Baldwin County-GA
011,13,Banks County,Banks County-GA
013,13,Barrow County,Barrow County-GA
015,13,Bartow County,Bartow County-GA
017,13,Ben Hill County,Ben Hill County-GA
019,13,Berrien County,Berrien County-GA
021,13,Bibb County,Bibb County-GA
023,13,Bleckley County,Bleckley County-GA
025,13,Brantley County,Brantley County-GA
027,13,Brooks County,Brooks County-GA
029,13,Bryan County,Bryan County-GA
031,13,Bulloch County,Bulloch County-GA
033,13,Burke County,Burke County-GA
035,13,Butts County,Butts County-GA
037,13,Calhoun County,Calhoun County-GA
039,13,Camden County,Camden County-GA
043,13,Candler County,Candler County-GA
045,13,Carroll County,Carroll County-GA
047,13,Catoosa County,Catoosa County-GA
049,13,Charlton County,Charlton County-GA
051,13,Chatham County,Chatham County-GA
053,13,Chattahoochee County,Chattahoochee County-GA
055,13,Chattooga County,Chattooga County-GA
057,13,Cherokee County,Cherokee County-GA
059,13,Clarke County,Clarke County-GA
061,13,Clay County,Clay County-GA
063,13,Clayton County,Clayton County-GA
065,13,Clinch County,Clinch County-GA
067,13,Cobb County,Cobb County-GA
069,13,Coffee County,Coffee County-GA
071,13,Colquitt County,Colquitt County-GA
073,13,Columbia County,Columbia County-GA
075,13,Cook County,Cook County-GA
077,13,Coweta County,Coweta County-GA
079,13,Crawford County,Crawford County-GA
081,13,Crisp County,Crisp County-GA
083,13,Dade County,Dade County-GA
085,13,Dawson County,Dawson County-GA
087,13,Decatur County,Decatur County-GA
089,13,DeKalb County,DeKalb County-GA
091,13,Dodge County,Dodge County-GA
093,13,Dooly County,Dooly County-GA
095,13,Dougherty County,Dougherty County-GA
097,13,Douglas County,Douglas County-GA
099,13,Early County,Early County-GA
101,13,Echols County,Echols County-GA
103,13,Effingham County,Effingham County-GA
105,13,Elbert County,Elbert County-GA
107,13,Emanuel County,Emanuel County-GA
109,13,Evans County,Evans County-GA
111,13,Fannin County,Fannin County-GA
113,13,Fayette County,Fayette County-GA
115,13,Floyd County,Floyd County-GA
117,13,Forsyth County,Forsyth County-GA
119,13,Franklin County,Franklin County-GA
121,13,Fulton County,Fulton County-GA
123,13,Gilmer County,Gilmer County-GA
125,13,Glascock County,Glascock County-GA
127,13,Glynn County,Glynn County-GA
129,13,Gordon County,Gordon County-GA
131,13,Grady County,Grady County-GA
133,13,Greene County,Greene County-GA
135,13,Gwinnett County,Gwinnett County-GA
137,13,Habersham County,Habersham County-GA
139,13,Hall County,Hall County-GA
141,13,Hancock County,Hancock County-GA
143,13,Haralson County,Haralson County-GA
145,13,Harris County,Harris County-GA
147,13,Hart County,Hart County-GA
149,13,Heard County,Heard County-GA
151,13,Henry County,Henry County-GA
153,13,Houston County,Houston County-GA
155,13,Irwin County,Irwin County-GA
157,13,Jackson County,Jackson County-GA
159,13,Jasper County,Jasper County-GA
161,13,Jeff Davis County,Jeff Davis County-GA
163,13,Jefferson County,Jefferson County-GA
165,13,Jenkins County,Jenkins County-GA
167,13,Johnson County,Johnson County-GA
169,13,Jones County,Jones County-GA
171,13,Lamar County,Lamar County-GA
173,13,Lanier County,Lanier County-GA
175,13,Laurens County,Laurens County-GA
177,13,Lee County,Lee County-GA
179,13,Liberty County,Liberty County-GA
181,13,Lincoln County,Lincoln County-GA
183,13,Long County,Long County-GA
185,13,Lowndes County,Lowndes County-GA
187,13,Lumpkin County,Lumpkin County-GA
189,13,McDuffie County,McDuffie County-GA
191,13,McIntosh County,McIntosh County-GA
193,13,Macon County,Macon County-GA
195,13,Madison County,Madison County-GA
197,13,Marion County,Marion County-GA
199,13,Meriwether County,Meriwether County-GA
201,13,Miller County,Miller County-GA
205,13,Mitchell County,Mitchell County-GA
207,13,Monroe County,Monroe County-GA
209,13,Montgomery County,Montgomery County-GA
211,13,Morgan County,Morgan County-GA
213,13,Murray County,Murray County-GA
215,13,Muscogee County,Muscogee County-GA
217,13,Newton County,Newton County-GA
219,13,Oconee County,Oconee County-GA
221,13,Oglethorpe County,Oglethorpe County-GA
223,13,Paulding County,Paulding County-GA
225,13,Peach County,Peach County-GA
227,13,Pickens County,Pickens County-GA
229,13,Pierce County,Pierce County-GA
231,13,Pike County,Pike County-GA
233,13,Polk County,Polk County-GA
235,13,Pulaski County,Pulaski County-GA
237,13,Putnam County,Putnam County-GA
239,13,Quitman County,Quitman County-GA
241,13,Rabun County,Rabun County-GA
243,13,Randolph County,Randolph County-GA
245,13,Richmond County,Richmond County-GA
247,13,Rockdale County,Rockdale County-GA
249,13,Schley County,Schley County-GA
251,13,Screven County,Screven County-GA
253,13,Seminole County,Seminole County-GA
255,13,Spalding County,Spalding County-GA
257,13,Stephens County,Stephens County-GA
259,13,Stewart County,Stewart County-GA
261,13,Sumter County,Sumter County-GA
263,13,Talbot County,Talbot County-GA
265,13,Taliaferro County,Taliaferro County-GA
267,13,Tattnall County,Tattnall County-GA
269,13,Taylor County,Taylor County-GA
271,13,Telfair County,Telfair County-GA
273,13,Terrell County,Terrell County-GA
275,13,Thomas County,Thomas County-GA
277,13,Tift County,Tift County-GA
279,13,Toombs County,Toombs County-GA
281,13,Towns County,Towns County-GA
283,13,Treutlen County,Treutlen County-GA
285,13,Troup County,Troup County-GA
287,13,Turner County,Turner County-GA
289,13,Twiggs County,Twiggs County-GA
291,13,Union County,Union County-GA
293,13,Upson County,Upson County-GA
295,13,Walker County,Walker County-GA
297,13,Walton County,Walton County-GA
299,13,Ware County,Ware County-GA
301,13,Warren County,Warren County-GA
303,13,Washington County,Washington County-GA
305,13,Wayne County,Wayne County-GA
307,13,Webster County,Webster County-GA
309,13,Wheeler County,Wheeler County-GA
311,13,White County,White County-GA
313,13,Whitfield County,Whitfield County-GA
315,13,Wilcox County,Wilcox County-GA
317,13,Wilkes County,Wilkes County-GA
319,13,Wilkinson County,Wilkinson County-GA
321,13,Worth County,Worth County-GA
000,15,Hawaii,Hawaii-HI
001,15,Hawaii County,Hawaii County-HI
003,15,Honolulu County,Honolulu County-HI
005,15,Kalawao County,Kalawao County-HI
007,15,Kauai County,Kauai County-HI
009,15,Maui County,Maui County-HI
000,16,Idaho,Idaho-ID
001,16,Ada County,Ada County-ID
003,16,Adams County,Adams County-ID
005,16,Bannock County,Bannock County-ID
007,16,Bear Lake County,Bear Lake County-ID
009,16,Benewah County,Benewah County-ID
011,16,Bingham County,Bingham County-ID
013,16,Blaine County,Blaine County-ID
015,16,Boise County,Boise County-ID
017,16,Bonner County,Bonner County-ID
019,16,Bonneville County,Bonneville County-ID
021,16,Boundary County,Boundary County-ID
023,16,Butte County,Butte County-ID
025,16,Camas County,Camas County-ID
027,16,Canyon County,Canyon County-ID
029,16,Caribou County,Caribou County-ID
031,16,Cassia County,Cassia County-ID
033,16,Clark County,Clark County-ID
035,16,Clearwater County,Clearwater County-ID
037,16,Custer County,Custer County-ID
039,16,Elmore County,Elmore County-ID
041,16,Franklin County,Franklin County-ID
043,16,Fremont County,Fremont County-ID
045,16,Gem County,Gem County-ID
047,16,Gooding County,Gooding County-ID
049,16,Idaho County,Idaho County-ID
051,16,Jefferson County,Jefferson County-ID
053,16,Jerome County,Jerome County-ID
055,16,Kootenai County,Kootenai County-ID
057,16,Latah County,Latah County-ID
059,16,Lemhi County,Lemhi County-ID
061,16,Lewis County,Lewis County-ID
063,16,Lincoln County,Lincoln County-ID
065,16,Madison County,Madison County-ID
067,16,Minidoka County,Minidoka County-ID
069,16,Nez Perce County,Nez Perce County-ID
071,16,Oneida County,Oneida County-ID
073,16,Owyhee County,Owyhee County-ID
075,16,Payette County,Payette County-ID
077,16,Power County,Power County-ID
079,16,Shoshone County,Shoshone County-ID
081,16,Teton County,Teton County-ID
083,16,Twin Falls County,Twin Falls County-ID
085,16,Valley County,Valley County-ID
087,16,Washington County,Washington County-ID
000,17,Illinois,Illinois-IL
001,17,Adams County,Adams County-IL
003,17,Alexander County,Alexander County-IL
005,17,Bond County,Bond County-IL
007,17,Boone County,Boone County-IL
009,17,Brown County,Brown County-IL
011,17,Bureau County,Bureau County-IL
013,17,Calhoun County,Calhoun County-IL
015,17,Carroll County,Carroll County-IL
017,17,Cass County,Cass County-IL
019,17,Champaign County,Champaign County-IL
021,17,Christian County,Christian County-IL
023,17,Clark County,Clark County-IL
025,17,Clay County,Clay County-IL
027,17,Clinton County,Clinton County-IL
029,17,Coles County,Coles County-IL
031,17,Cook County,Cook County-IL
033,17,Crawford County,Crawford County-IL
035,17,Cumberland County,Cumberland County-IL
037,17,DeKalb County,DeKalb County-IL
039,17,De Witt County,De Witt County-IL
041,17,Douglas County,Douglas County-IL
043,17,DuPage County,DuPage County-IL
045,17,Edgar County,Edgar County-IL
047,17,Edwards County,Edwards County-IL
049,17,Effingham County,Effingham County-IL
051,17,Fayette County,Fayette County-IL
053,17,Ford County,Ford County-IL
055,17,Franklin County,Franklin County-IL
057,17,Fulton County,Fulton County-IL
059,17,Gallatin County,Gallatin County-IL
061,17,Greene County,Greene County-IL
063,17,Grundy County,Grundy County-IL
065,17,Hamilton County,Hamilton County-IL
067,17,Hancock County,Hancock County-IL
069,17,Hardin County,Hardin County-IL
